"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Viktor","Top",1,"0.1%","1.2%","6.1%","100%","100%",3,2,8,5.5,"57.9%","14.3%","-","-","-","-",8.2,"-",579,"24.2%","19.9%",0.53,0.11
"Vladimir","Top",1,"0.1%","0.1%","0.1%","0%","100%",2,5,2,0.8,"80.0%","21.7%","-","-","-","-",8.2,"-",426,"22.5%","23.6%",0.31,0.04
"Volibear","Jungle",8,"0.5%","0.7%","1.3%","50%","88%",11,20,34,2.3,"76.3%","20.6%","50%",3,-49,1.2,5.4,"13.9%",229,"12.3%","17.3%",0.41,0.45
"Volibear","Top",1,"0.1%","0.7%","1.3%","0%","100%",0,3,2,0.7,"50.0%","27.3%","0%",-197,-259,-2,9,"27.2%",726,"49.5%","22.5%",0.32,0.25
"Wukong","Jungle",491,"32.7%","16.8%","49.5%","46%","54%",1392,1338,2781,3.1,"69.5%","21.9%","12%",-40,-58,-1.9,5.5,"15.1%",311,"15.0%","18.4%",0.32,0.45
"Xayah","ADC",394,"26.2%","15.2%","41.4%","54%","59%",1589,880,1983,4.1,"69.4%","17.8%","12%",-76,-20,-2.3,10.1,"33.7%",598,"27.7%","27.1%",0.41,0.37
"Xerath","Middle",9,"0.6%","0.3%","0.9%","22%","100%",27,22,33,2.7,"73.2%","22.0%","22%",-55,16,-3.2,8.5,"22.9%",733,"36.1%","22.8%",0.48,0.06
"Xin Zhao","Jungle",27,"1.8%","0.2%","2.0%","26%","89%",42,101,133,1.7,"63.2%","25.0%","19%",34,161,0.3,5.5,"15.0%",327,"17.1%","17.8%",0.31,0.38
"Yasuo","Middle",2,"0.1%","0.1%","0.4%","50%","100%",10,6,1,1.8,"64.7%","26.1%","0%",127,467,5,9.1,"25.4%",306,"20.1%","25.3%",0.42,0.14
"Yasuo","Top",2,"0.1%","0.1%","0.4%","50%","100%",7,5,4,2.2,"40.7%","16.7%","0%",626,305,25.5,10.6,"30.6%",413,"19.3%","25.4%",0,0.14
"Yone","Middle",105,"7.0%","9.6%","17.1%","62%","69%",399,241,517,3.8,"64.5%","20.4%","10%",123,112,3.4,9.3,"28.5%",535,"23.4%","25.1%",0.3,0.24
"Yone","Top",7,"0.5%","9.6%","17.1%","43%","100%",15,26,19,1.3,"37.8%","22.4%","14%",317,218,10.7,9,"27.6%",529,"23.4%","24.3%",0.35,0.16
"Yuumi","Support",151,"10.1%","15.3%","25.4%","48%","47%",75,201,1357,7.1,"85.0%","12.2%","10%",-66,217,-4.3,0.2,"0.6%",252,"11.8%","8.8%",1.38,0.12
"Zac","Jungle",5,"0.3%","0.1%","0.5%","60%","100%",11,11,33,4,"65.7%","22.4%","20%",194,-39,-7.5,5,"12.7%",240,"11.5%","15.8%",0.37,0.46
"Zac","Support",1,"0.1%","0.1%","0.5%","0%","100%",2,3,2,1.3,"44.4%","30.0%","0%",417,81,0,1.2,"2.3%",162,"8.7%","9.9%",1.44,0.33
"Zeri","ADC",461,"30.7%","25.4%","56.2%","50%","38%",2066,884,1960,4.6,"73.8%","17.3%","11%",-42,-39,-0.8,10.3,"34.9%",610,"29.3%","28.8%",0.42,0.55
"Zeri","Middle",1,"0.1%","25.4%","56.2%","0%","100%",2,0,2,4,"100.0%","0.0%","0%",438,199,11,11.7,"40.4%",796,"48.0%","31.4%",0.67,0.6
"Ziggs","ADC",31,"2.1%","3.9%","6.4%","55%","84%",88,64,173,4.1,"66.9%","15.4%","6%",-229,-6,-2.8,9,"29.0%",792,"34.9%","24.6%",0.35,0.23
"Ziggs","Middle",6,"0.4%","3.9%","6.4%","83%","33%",26,7,46,10.3,"75.8%","11.3%","17%",431,279,1.8,8.4,"25.6%",930,"34.5%","27.1%",0.49,0.14
"Zilean","Middle",4,"0.3%","0.6%","1.0%","50%","75%",7,4,30,9.3,"80.4%","11.1%","25%",-153,-15,-5.8,8.2,"23.3%",440,"23.1%","20.3%",0.33,0.07
"Zilean","Support",2,"0.1%","0.6%","1.0%","0%","100%",1,3,7,2.7,"100.0%","13.6%","50%",196,151,0,1.2,"2.0%",60,"4.6%","8.8%",1.96,0.53
"Zoe","Middle",7,"0.5%","0.5%","0.9%","14%","57%",14,18,28,2.3,"64.6%","14.5%","14%",158,-30,4.3,7.4,"21.8%",600,"29.3%","21.3%",0.44,0.19
